#FID	IID	t1
id1_0	id2_0	-0.202276656290009
id1_1	id2_1	0.108455341107123
id1_2	id2_2	-1.47439907449527
id1_3	id2_3	-1.03108624006939
id1_4	id2_4	-1.06961109590952
id1_5	id2_5	0.401936754574847
id1_6	id2_6	0.0957640765068838
id1_7	id2_7	-0.576724861968734
id1_8	id2_8	1.14007960147875
id1_9	id2_9	-1.17212137178788
id1_10	id2_10	0.814949554227787
id1_11	id2_11	-0.989802199618084
id1_12	id2_12	2.89756270818716
id1_13	id2_13	-0.182977628111187
id1_14	id2_14	0.65605404196989
id1_15	id2_15	-0.864309120988541
id1_16	id2_16	-2.11933244176054
id1_17	id2_17	-0.370893520553618
id1_18	id2_18	-0.302285109191189
id1_19	id2_19	-0.151612573840665
id1_20	id2_20	-0.440964196387032
id1_21	id2_21	-1.0371054502596
id1_22	id2_22	-0.0493050930280745
id1_23	id2_23	-0.647370691749341
id1_24	id2_24	-0.362835526442395
id1_25	id2_25	1.32728010354529
id1_26	id2_26	-0.968490823569153
id1_27	id2_27	-1.09178892070831
id1_28	id2_28	-0.125907205831348
id1_29	id2_29	0.186163178672428
id1_30	id2_30	-0.880097014722966
id1_31	id2_31	-0.166043955889902
id1_32	id2_32	-1.51915792581499
id1_33	id2_33	-0.42029109091523
id1_34	id2_34	-0.195679978419393
id1_35	id2_35	1.32398989784078
id1_36	id2_36	1.45620856175369
id1_37	id2_37	-0.619925188501156
id1_38	id2_38	-0.529090096912867
id1_39	id2_39	-0.534109080954385
id1_40	id2_40	0.84769712693446
id1_41	id2_41	1.34454731101398
id1_42	id2_42	2.52075218515843
id1_43	id2_43	0.278568646131708
id1_44	id2_44	0.353826080223317
id1_45	id2_45	-1.82604957222574
id1_46	id2_46	0.517318109199483
id1_47	id2_47	-0.514307876323104
id1_48	id2_48	1.24523794330735
id1_49	id2_49	-1.58955814408774
id1_50	id2_50	-1.04708971137228
id1_51	id2_51	0.198244344889877
id1_52	id2_52	-1.22119520507949
id1_53	id2_53	0.848846710466478
id1_54	id2_54	-0.826295529290901
id1_55	id2_55	1.10755777287214
id1_56	id2_56	-1.16650822663594
id1_57	id2_57	-2.75492622887279
id1_58	id2_58	-0.706729050555888
id1_59	id2_59	-0.00602556922777656
id1_60	id2_60	-0.531786854204327
id1_61	id2_61	-1.08928787233172
id1_62	id2_62	-1.51980742853999
id1_63	id2_63	0.528983587928752
id1_64	id2_64	1.72216061371014
id1_65	id2_65	-0.720825367695786
id1_66	id2_66	0.0477393584946144
id1_67	id2_67	-1.01505990921118
id1_68	id2_68	-0.563100286362164
id1_69	id2_69	-0.410460700152557
id1_70	id2_70	1.34086606941994
id1_71	id2_71	-1.99383820422013
id1_72	id2_72	1.93566541587722
id1_73	id2_73	-0.901315824752865
id1_74	id2_74	-1.47968637021719
id1_75	id2_75	-0.47207847479221
id1_76	id2_76	-1.44137750066651
id1_77	id2_77	0.700883112488385
id1_78	id2_78	-1.35500467564818
id1_79	id2_79	0.32149388997905
id1_80	id2_80	0.383917218523253
id1_81	id2_81	-1.25390442782797
id1_82	id2_82	-0.663274737070988
id1_83	id2_83	0.932517342693042
